timestamp,CPU US,CPU SY,CPU ID,MEM USED,MEM BUFF,Stellar CPU%,Stellar MEM%,PGSQL CPU%,PGSQL MEM%
2021-05-17 17:28:18,2.4,0.1,0.5,10407.2,500.8,16.8,0.8,5.9,0.5
2021-05-17 17:28:19,2.3,0.9,0.3,10409.5,498.5,21.0,0.8,4.0,0.5
2021-05-17 17:28:20,1.3,0.4,0.0,10409.5,498.5,7.0,0.8,1.0,0.5
2021-05-17 17:28:21,1.9,0.4,0.0,10409.5,498.5,16.0,0.8,2.0,0.5
2021-05-17 17:28:22,4.3,0.3,1.4,10409.3,498.6,30.0,0.8,13.0,0.5
2021-05-17 17:28:23,1.9,0.6,2.9,10409.3,498.6,17.0,0.8,3.0,0.5
2021-05-17 17:28:24,2.0,1.1,1.8,10409.3,498.6,17.8,0.8,3.0,0.5
2021-05-17 17:28:25,1.5,0.6,0.0,10410.0,497.9,10.0,0.8,3.0,0.5
2021-05-17 17:28:26,1.3,0.9,0.1,10410.0,497.9,11.0,0.8,2.0,0.5
2021-05-17 17:28:27,3.9,0.8,0.1,10410.0,497.9,27.0,0.8,9.0,0.5
2021-05-17 17:28:28,3.7,0.6,0.5,10409.2,498.6,28.0,0.8,9.0,0.5
2021-05-17 17:28:29,1.6,0.5,0.0,10409.2,498.6,15.0,0.8,3.0,0.5
2021-05-17 17:28:30,2.3,0.5,0.1,10409.2,498.6,15.8,0.8,3.0,0.5
2021-05-17 17:28:31,1.0,0.5,0.1,10409.0,498.8,8.0,0.8,1.0,0.5
2021-05-17 17:28:32,2.3,0.3,0.0,10409.0,498.8,19.0,0.8,5.0,0.5
2021-05-17 17:28:33,6.9,1.0,1.6,10409.0,498.8,41.0,0.8,29.0,0.5
2021-05-17 17:28:34,2.4,1.0,0.6,10410.2,497.8,19.0,0.8,3.0,0.5
2021-05-17 17:28:35,1.8,0.8,0.0,10410.2,497.8,14.0,0.8,4.0,0.5
2021-05-17 17:28:36,1.9,0.1,0.0,10410.2,497.8,13.9,0.8,2.0,0.5
2021-05-17 17:28:37,0.9,0.0,0.0,10409.8,498.2,8.0,0.8,3.0,0.5
2021-05-17 17:28:38,3.9,0.4,2.6,10409.8,498.2,25.0,0.8,12.0,0.5
2021-05-17 17:28:39,2.9,1.0,0.7,10409.8,498.2,21.0,0.8,6.0,0.5
2021-05-17 17:28:40,2.4,0.9,0.0,10409.2,498.8,21.0,0.8,3.0,0.5
2021-05-17 17:28:41,1.3,0.1,0.3,10409.2,498.8,10.0,0.8,2.0,0.5
2021-05-17 17:28:42,1.0,0.0,0.0,10409.2,498.8,7.9,0.8,2.0,0.5
2021-05-17 18:12:15,3.3,4.1,0.0,10381.5,500.0,6.7,0.8,6.7,0.5
2021-05-17 18:12:16,2.6,0.8,0.4,10381.5,500.0,21.8,0.8,3.0,0.5
2021-05-17 18:12:17,2.1,0.6,0.5,10381.5,500.0,16.0,0.8,5.0,0.5
2021-05-17 18:12:18,1.8,0.8,0.3,10380.4,501.1,17.0,0.8,4.0,0.5
2021-05-17 18:12:19,5.0,0.6,1.1,10380.4,501.1,34.0,0.8,12.0,0.5
2021-05-17 18:12:20,2.1,1.0,0.1,10380.4,501.1,16.0,0.8,5.0,0.5
2021-05-17 18:12:21,2.0,1.0,0.1,10380.2,501.2,19.0,0.8,3.0,0.5
2021-05-17 18:12:22,1.6,0.3,0.4,10380.2,501.2,15.8,0.8,2.0,0.5
2021-05-17 18:12:23,1.6,0.3,0.3,10380.2,501.2,12.0,0.8,2.0,0.5
2021-05-17 18:12:24,1.6,0.4,1.4,10381.5,499.9,14.0,0.8,2.0,0.5
2021-05-17 18:12:25,4.0,0.6,2.4,10381.5,499.9,27.0,0.8,11.0,0.5
2021-05-17 18:12:26,2.8,1.3,0.9,10381.5,499.9,22.0,0.8,5.0,0.5
2021-05-17 18:12:27,1.6,0.6,0.4,10381.5,499.7,14.9,0.8,2.0,0.5
2021-05-17 18:12:28,1.6,0.4,0.1,10381.5,499.7,13.0,0.8,3.0,0.5
2021-05-17 18:12:29,2.2,0.4,0.0,10381.5,499.7,14.0,0.8,1.0,0.5
2021-05-17 18:12:30,2.8,1.0,0.1,10381.4,499.7,17.0,0.8,3.0,0.5
2021-05-17 18:12:31,6.8,1.3,0.5,10381.4,499.7,42.0,0.8,30.0,0.5
2021-05-17 18:12:32,5.6,0.6,1.5,10381.4,499.7,31.0,0.8,22.0,0.5
2021-05-17 18:12:33,2.1,0.5,0.5,10381.7,499.4,19.8,0.8,3.0,0.5
2021-05-17 18:12:34,1.8,1.0,0.3,10381.7,499.4,14.0,0.8,2.0,0.5
2021-05-17 18:12:35,1.9,1.0,0.0,10381.7,499.4,14.0,0.8,3.0,0.5
2021-05-17 18:12:36,4.6,0.2,1.7,10380.1,500.4,30.0,0.8,11.0,0.5
2021-05-17 18:12:37,2.9,0.4,2.5,10380.1,500.4,22.0,0.8,8.0,0.5
2021-05-17 18:12:38,2.4,0.9,0.0,10380.1,500.4,18.8,0.8,3.0,0.5
