timestamp,rx,tx
2021-05-26 16:40:00+02:00,266211746,271529708
2021-05-26 16:45:00+02:00,283857420,310923253
2021-05-26 16:50:00+02:00,233673278,248932596
2021-05-26 16:55:00+02:00,281840385,321377017
2021-05-26 17:00:00+02:00,242469995,253499082
2021-05-26 17:05:00+02:00,255957183,278699567
2021-05-26 17:10:00+02:00,331034753,356976089
2021-05-26 17:15:00+02:00,284288817,310387699
2021-05-26 17:20:00+02:00,305029211,352831169
2021-05-26 17:25:00+02:00,267530115,291699410
2021-05-26 17:30:00+02:00,296047210,332546117
2021-05-26 17:35:00+02:00,257360831,279032434
2021-05-26 17:40:00+02:00,302503806,338052560
2021-05-26 17:45:00+02:00,269586315,297257337
2021-05-26 17:50:00+02:00,292760856,314385300
2021-05-26 17:55:00+02:00,289249118,306181378
2021-05-26 18:00:00+02:00,291761834,336442502
2021-05-26 18:05:00+02:00,301268900,330578171
2021-05-26 18:10:00+02:00,266337123,295946772
2021-05-26 18:15:00+02:00,257347657,271016403
2021-05-26 18:20:00+02:00,239378674,251584098
2021-05-26 18:25:00+02:00,270563272,294198838
2021-05-26 18:30:00+02:00,300650259,357022821
2021-05-26 18:35:00+02:00,336920961,390661467
2021-05-26 18:40:00+02:00,259544677,289862768
2021-05-26 18:45:00+02:00,258337607,273407423
2021-05-26 18:50:00+02:00,247966183,269057842
2021-05-26 18:55:00+02:00,242625256,261078756
2021-05-26 19:00:00+02:00,281161856,331688977
2021-05-26 19:05:00+02:00,252580653,283408498
2021-05-26 19:10:00+02:00,247828608,279738722
2021-05-26 19:15:00+02:00,247411417,273747636
2021-05-26 19:20:00+02:00,243098925,286279015
2021-05-26 19:25:00+02:00,245497930,280295792
2021-05-26 19:30:00+02:00,286302949,356903059
2021-05-26 19:35:00+02:00,281916670,325987514
2021-05-26 19:40:00+02:00,261610165,302390108
2021-05-26 19:45:00+02:00,291668913,328747722
2021-05-26 19:50:00+02:00,250285479,277000203
2021-05-26 19:55:00+02:00,278056512,308601719
2021-05-26 20:00:00+02:00,257955388,274413813
2021-05-26 20:05:00+02:00,343492244,374770549
2021-05-26 20:10:00+02:00,296396119,343591176
2021-05-26 20:15:00+02:00,261813233,284869131
2021-05-26 20:20:00+02:00,289770485,320868372
2021-05-26 20:25:00+02:00,306803516,343708567
2021-05-26 20:30:00+02:00,285907438,305232234
2021-05-26 20:35:00+02:00,248968606,257689039
